sortRank,ref,totalVotes,code_read,verbatim_score,note
429,geokocha/eda-multi-cell-bandit-attack,4,no,,
430,tkhanna96/h006-pilkwang-exact-77,0,no,,
431,tkhanna96/h006-multipost-k2-n300,0,no,,
432,rauffauzanrambe/chain-of-thought-security-mileware,8,no,,
433,souldrive/why-your-attack-completes-but-scores-blank,7,no,,
434,paul720810/hermes-openclaw-attack-e005-20260622-121312,3,no,,
435,sgzk001/ai-agent-security-smoke-submit,1,no,,
436,paul720810/hermes-openclaw-attack-e005-20260622-181355,1,no,,
437,paul720810/hermes-openclaw-attack-e005-20260622-181838,1,no,,
438,akshitasrivastava1/omega-attack-v8-3-gemma-phrase-a,0,no,,
439,paul720810/hermes-openclaw-attack-e005-20260623-020944,1,no,,
440,akshitasrivastava1/omega-attack-v8-4-n500-gemma-a,3,no,,
441,ericyhs/ai-agent-security-attack-v0-4,3,no,,
442,logiclab/test-deep,1,no,,
443,akshitasrivastava1/omega-attack-v8-5-baseline-n500,1,no,,
444,simplexcomplex/run-the-ai-agent-locally-without-a-gpu,8,no,,
445,paul720810/hermes-openclaw-attack-e005-20260623-160546,1,no,,
446,paul720810/hermes-openclaw-attack-e005-20260623-160628,1,no,,
447,aristotelesborges84/notebook29ca6d58e7,1,no,,
448,aristotelesborges84/notebooka2d33dc7a3,1,no,,
449,aristotelesborges84/notebookb5f47fc1d9,1,no,,
450,pengwang91/jed-attack-alpha2co-700,0,no,,
451,pengwang91/jed-attack-alpha2co-680-gpu,1,no,,
452,pengwang91/jed-attack-alpha2co-720-gpu,1,no,,
453,pengwang91/jed-attack-alpha2co-760-t4b,1,no,,
454,pengwang91/jed-attack-fastco-740-t4b,1,no,,
455,pengwang91/jed-daily-20260624-620-proven-control,1,no,,
456,pengwang91/jed-daily-20260624-667-reference-control,1,no,,
457,pengwang91/jed-daily-20260624-720-ref-retry-t4,1,no,,
458,pengwang91/jed-daily-20260624-700-near-ref-wording,1,no,,
459,pengwang91/jed-daily-20260624-400-multi2-exploration,1,no,,
460,paul720810/hermes-openclaw-attack-e005-20260624-040715,1,no,,
461,paul720810/hermes-openclaw-attack-e005-20260624-060737,0,no,,
462,paul720810/hermes-openclaw-attack-e005-20260624-060827,0,no,,
463,bigbag1983/ai-agent-security-attack-v9,0,no,,
464,paul720810/hermes-openclaw-attack-e005-20260624-080921,0,no,,
465,teisnestech/notebookf94cc567e4,0,no,,
466,khj1222/aisec-exfil-fill-644,0,no,,
467,khj1222/aisec-exfil-fill-648,0,no,,
468,paul720810/hermes-openclaw-attack-e005-20260624-121821,3,no,,
469,junaid512/ai-agent,0,no,,
470,ckyasb/ai-agent-security-attack,1,no,,
471,tensorliu/jed-attack-nb-v2,0,no,,
472,tensorliu/jed-attack-nb-v3,0,no,,
473,souldrive/the-replay-wall-and-the-guardrail-mirror,4,no,,
474,manderson240/agent-security-mcts-attack-20260624-1526,1,no,,
475,paul720810/hermes-openclaw-attack-e005-20260624-160707,3,no,,
476,paul720810/hermes-openclaw-attack-e005-20260624-160919,1,no,,
477,pengwang91/jed-daily-20260625-620-proven-control,1,no,,
478,djenkivanov/local-validation-guide,27,no,,
479,irongm/omega-attack-v8-6-gemma-b-n450,1,no,,
480,maj0rt0m/private-eval-proxy,5,no,,
481,qinggedada/v7-read-multipost-delete-hybrid,5,no,,
482,aman5153684/sentinel-alpha2co-700-break62,6,no,,
483,sud0su/ai-agent-security-v8-attack,4,no,,
484,kiluazen/aas-clone-best,1,no,,
485,qinggedada/v8-gold-targeted-multi-cell,2,no,,
486,qinggedada/v9-4-cell-targeted-attack,1,no,,
487,paul720810/hermes-openclaw-attack-e005-20260625-080918,1,no,,
488,paul720810/hermes-openclaw-attack-e005-20260625-120737,0,no,,
489,jiamengzhangjemma/ai-agent-security-v80-dualpost-nb-20260625,0,no,,
490,jiamengzhangjemma/ai-agent-security-v81-clean-attackpy-20260625,0,no,,
491,jiamengzhangjemma/ai-agent-security-v82-clean-attackpy-cpu-20260625,1,no,,
492,paul720810/hermes-openclaw-attack-e005-20260625-140800,0,no,,
493,udaken10/les-s-read-the-sdk,2,no,,
494,udaken10/advancedmultipredicateattack,1,no,,
495,paul720810/hermes-openclaw-attack-e005-20260625-161241,0,no,,
496,ghazarosbarseghyan91/ai-agent-security-multi-step-tool-attacks-v21,1,no,,
497,paul720810/hermes-openclaw-attack-e005-20260625-180903,3,no,,
498,paul720810/hermes-openclaw-attack-e005-20260625-200702,1,no,,
499,paul720810/hermes-openclaw-attack-e005-20260625-200905,1,no,,
500,maj0rt0m/private-eval-proxy-gpu,9,no,,
501,paul720810/hermes-openclaw-attack-e005-20260625-221411,1,no,,
502,paul720810/hermes-openclaw-attack-e005-20260626-040151,1,no,,
503,kiranvitly/ai-agent-security-attack,4,no,,
504,paul720810/hermes-openclaw-attack-e005-20260626-080717,0,no,,
505,agentzz/ai-agent-security-working-note,0,no,,
506,chrisopherjoshy/ai-agent-security-attack,0,no,,
507,paul720810/hermes-openclaw-attack-e005-20260626-120947,0,no,,
508,akshitasrivastava1/omega-attack-v10-0-v82-secret-marker,1,no,,
509,kokinnwakashuu/ai-agent-security-v038-pipeline-check,10,no,,
510,paul720810/hermes-openclaw-attack-e005-20260627-020837,0,no,,
511,qinggedada/agent-security-v7-llm-evolution-attacks,0,no,,
512,paul720810/hermes-openclaw-attack-e005-20260627-121730,1,no,,
513,kiranvitly/agent-attack-v13,3,no,,
514,paul720810/hermes-openclaw-attack-e005-20260627-180517,0,no,,
515,bigbag1983/ai-agent-security-attack-v12,0,no,,
516,emanuellcs/aias-agent,5,no,,
517,paul720810/hermes-openclaw-attack-e005-20260628-001214,1,no,,
518,paul720810/hermes-openclaw-attack-e005-20260628-001401,1,no,,
519,paul720810/hermes-openclaw-attack-e005-20260628-021533,1,no,,
520,paul720810/hermes-openclaw-attack-e005-20260628-021718,1,no,,
521,paul720810/hermes-openclaw-attack-e005-20260628-021828,1,no,,
522,paul720810/hermes-openclaw-attack-e005-20260628-080608,3,no,,
523,jiamengzhangjemma/as-v80-template-20260628,3,no,,
524,matthewblakeward/jed-red-team-winning-attack,4,no,,
525,akshitasrivastava1/omega-attack-v10-1-n560-no-placeholder,0,no,,
526,akshitasrivastava1/omega-attack-v10-2-n420-peak-safe,0,no,,
527,jiamengzhangjemma/as-adaptive-v2-20260628,1,no,,
528,ghazarosbarseghyan91/agent-security-multi-step-attacks-v21,2,no,,
529,paul720810/hermes-openclaw-attack-e005-20260629-001115,3,no,,
530,paul720810/hermes-openclaw-attack-e005-20260629-040732,0,no,,
531,paul720810/hermes-openclaw-attack-e005-20260629-081200,2,no,,
532,paul720810/hermes-openclaw-attack-e005-20260629-081305,2,no,,
533,paul720810/hermes-openclaw-attack-e005-20260629-101001,3,no,,
534,hashimrazi/attack-template-validator,4,no,,
535,lucifer19/v9-hop-saturation-overdrive,4,no,,
536,jiamengzhangjemma/as-static-v3-safe-20260629,0,no,,
537,aristotelesborges84/notebookbf5cac589b,0,no,,
538,aristotelesborges84/notebook4f47354ee4,0,no,,
539,paul720810/hermes-openclaw-attack-e005-20260630-000719,0,no,,
540,mtoshidesu/test-ai-security-urad-code,0,no,,
541,mtoshidesu/test-ai-agent-security-001,0,no,,
542,mtoshidesu/test-ai-agent-0fa258,0,no,,
543,mtoshidesu/test-jed-attack-improved-nb,0,no,,
544,mtoshidesu/notebook48684707e0,1,no,,
545,jiamengzhangjemma/as-public-wall-n560-20260630,2,no,,
546,paul720810/hermes-openclaw-attack-e005-20260630-081455,2,no,,
547,paul720810/hermes-openclaw-attack-e005-20260630-082149,2,no,,
548,sol12378/hosted-replay-economics-aas-working-note,2,no,,
549,paul720810/hermes-openclaw-attack-e005-20260630-180356,1,no,,
550,busyaprime/ai-agent-security-getting-started,1,no,,
551,farmountain/harness-test-ai-agent-security-sub01,1,no,,
552,paul720810/hermes-openclaw-attack-e005-20260701-021139,1,no,,
553,paul720810/hermes-openclaw-attack-e005-20260701-021235,1,no,,
554,paul720810/hermes-openclaw-attack-e005-20260701-021335,1,no,,
555,paul720810/hermes-openclaw-attack-e005-20260701-040507,2,no,,
556,paul720810/hermes-openclaw-attack-e005-20260701-040634,2,no,,
557,tamiltechno/mutation-attack,4,no,,
558,paul720810/hermes-openclaw-attack-e005-20260701-081023,1,no,,
559,paul720810/hermes-openclaw-attack-e005-20260701-081213,1,no,,
560,rauffauzanrambe/ai-security-sot-of-multi-tools-safe-v9,4,no,,
561,georgymamarin/red-team-starter-what-fires-and-what-it-s-worth,51,no,,
562,paul720810/hermes-openclaw-attack-e005-20260702-000929,1,no,,
563,paul720810/hermes-openclaw-attack-e005-20260702-002343,1,no,,
564,paul720810/hermes-openclaw-attack-e005-20260702-002510,2,no,,
565,untouchableforest/fork-v22-urlcompact-642-orig-caoyupeng-57-78,2,no,,
566,n0rollback/reading-the-ai-agent-security-leaderboard,1,no,,
567,rumblingb/provenance-note-20260702,0,no,,
568,pengwang91/jed-cleanimp560-marker,1,no,,
569,pengwang91/jed-cleanimp610-marker,1,no,,
570,pengwang91/jed-cleanimp636-marker,1,no,,
571,pengwang91/jed-cleanimp667-marker,1,no,,
572,naka84/guardrails-s-flow-chart,1,no,,
573,paul720810/hermes-openclaw-attack-e005-20260703-021019,1,no,,
574,paul720810/hermes-openclaw-attack-e005-20260703-040359,1,no,,
575,paul720810/hermes-openclaw-attack-e005-20260703-101916,0,no,,
576,paul720810/hermes-openclaw-attack-e005-20260703-141248,1,no,,
577,paul720810/hermes-openclaw-attack-e005-20260703-181226,1,no,,
578,yuriymikityuk/jed-red-team-teardown,2,no,,
579,paul720810/hermes-openclaw-attack-e005-20260704-020719,0,no,,
580,pengwang91/jed-indirect-marker180,0,no,,
581,pengwang91/jed-indirect-marker240,0,no,,
582,pengwang91/jed-indirect-marker300,0,no,,
583,pengwang91/jed-indirect-marker360,0,no,,
584,drkongvis/agent-security-v1-baseline,1,no,,
585,paul720810/hermes-openclaw-attack-e005-20260704-081003,1,no,,
586,paul720810/hermes-openclaw-attack-e005-20260704-081127,1,no,,
587,gautampatil9898/state-space-agent-attack-search,1,no,,
588,pengwang91/jed-cleanimp480-marker,0,no,,
589,pengwang91/jed-cleanimp460-marker,1,no,,
590,pengwang91/jed-shortimp475-marker,1,no,,
591,pengwang91/jed-shortimp500-marker,1,no,,
592,verise6211/aas-persona,0,no,,
593,paul720810/hermes-openclaw-attack-e005-20260705-040747,0,no,,
594,ducnamphan/jed-attack-v0-80-multi-call,1,no,,
595,ducnamphan/jed-attack-v0-90-all-in-multi-call,1,no,,
596,ducnamphan/jed-attack-v0-95-ultimate,4,no,,
597,ducnamphan/jed-attack-v1-0-high-call,3,no,,
598,qyq1693/ai-agent-security-multi-dense-attack-v8,1,no,,
599,konitac/aias-preliminary-submission-format-checker,3,no,,
600,ducnamphan/jed-attack-v2-0-8-call,1,no,,
601,ducnamphan/jed-attack-v3-0-probe-validated,1,no,,
602,busyaprime/what-fires-and-what-its-worth,2,no,,
603,ducnamphan/jed-attack-v5-0-mass-exfil,1,no,,
604,ducnamphan/jed-v5-5-production-final,1,no,,
605,busyaprime/two-flow-properties-behind-four-attack-predicates,2,no,,
606,devchandra/ai-agent-security-v68b-bikram-v10-56-87,1,no,,
607,paul720810/auto-build-20260706-040938,1,no,,
608,paul720810/hermes-openclaw-attack-e005-20260706-053700,1,no,,
609,paul720810/hermes-openclaw-attack-e005-20260706-053718,1,no,,
610,paul720810/hermes-openclaw-attack-e005-20260706-053756,1,no,,
611,paul720810/hermes-openclaw-attack-e005-20260706-053818,1,no,,
612,paul720810/hermes-openclaw-attack-e005-20260706-053858,1,no,,
613,paul720810/hermes-openclaw-attack-e005-20260706-053900,1,no,,
614,paul720810/hermes-openclaw-attack-e005-20260706-053932,1,no,,
615,paul720810/hermes-openclaw-attack-e005-20260706-053933,1,no,,
616,paul720810/hermes-openclaw-attack-e005-20260706-053954,1,no,,
617,paul720810/hermes-openclaw-attack-e005-20260706-054013,1,no,,
618,paul720810/hermes-openclaw-attack-e005-20260706-054029,1,no,,
619,jayanthpattela/attacking,0,no,,
620,paul720810/hermes-openclaw-attack-e005-20260706-081625,2,no,,
621,paul720810/hermes-openclaw-attack-e005-20260706-081850,1,no,,
622,paul720810/hermes-openclaw-attack-e005-20260706-082026,1,no,,
623,gautampatil9898/state-space-agent-attack-search-1,0,no,,
624,ghazarosbarseghyan91/jed-attack-map-elites-archive,0,no,,
625,pengwang91/jed-fill-mech-v2-control,0,no,,
626,pengwang91/jed-fill-noreason-short,0,no,,
627,pengwang91/jed-fill-post-noreason,1,no,,
628,khj1222/ai-agent-security-working-note,0,no,,
629,devchandra/ai-agent-security-v72-peng-mech-noval-m35,0,no,,
630,qyq1693/ai-agent-security-dense-v10,0,no,,
631,uditjain13/the-0-byte-submission-bug-guardrail-anatomy,3,no,,
632,qyq1693/ai-agent-security-speed-v11,0,no,,
633,paul720810/hermes-v19-replica-best-33-660,2,no,,
634,ducnamphan/jed-v9-0-multi-tool,1,no,,
635,ducnamphan/jed-v12-0-uta-amplifier,1,no,,
636,ducnamphan/jed-v13-0-compact-n-250,1,no,,
637,rumblingb/ai-security-lb60525-yusuke-fork-20260708,1,no,,
638,rumblingb/ai-agent-security-working-note-rumblingb,0,no,,
639,harmeetkaur24/attack-notebook,0,no,,
640,ducnamphan/jed-v14-0-task-blended,0,no,,
641,ducnamphan/jed-v15-0-5-paper-integration,0,no,,
642,ducnamphan/jed-v16-0-calibrated-n-300,1,no,,
643,devchandra/ai-agent-security-v74-yusuke-lb60525-exact,1,no,,
644,devchandra/ai-agent-security-v77-shadowcat-stable-margin32,1,no,,
645,ducnamphan/jed-v20-0-gpu-n-500,1,no,,
646,funnyai1234/notebook082499274c,0,no,,
647,kyleslight/ai-agent-security-public-anchor-v1,1,no,,
648,commencethescourge/ai-agent-security-baseline-submission,0,no,,
649,yuriymikityuk/the-taint-window-trap-jed-sdk-predicate-stacking,1,no,,
650,loveautomn/getting-started-notebook-b8f749,1,no,,
651,yuriymikityuk/read-the-source-not-the-leaderboard,1,no,,
652,paul720810/hermes-attack-v34-pure-n1050-tight-20260712-200748,0,no,,
653,andrewmedran0/ai-agent-security-submit,1,no,,
654,paul720810/hermes-attack-test-comp,0,no,,
655,paul720810/hermes-attack-test-big-code,0,no,,
656,paul720810/hermes-attack-v36-pure-n1050-tight-fixed,0,no,,
657,paul720810/hermes-attack-v36-n1050-tight-20260713-151754,0,no,,
658,paul720810/hermes-attack-v36-n1050-tight-20260713-151832,0,no,,
659,paul720810/hermes-attack-v37-n950-reg-20260713-152254,0,no,,
660,shayml/ai-agent-security-latest-best-v2,0,no,,
661,shayml/ai-agent-security-latest-best-v3,0,no,,
662,kleniopadilha/winnex-v62-attack,0,no,,
663,kleniopadilha/winnex-v63-attack,0,no,,
664,kleniopadilha/winnex-v64-attack,0,no,,
665,kleniopadilha/winnex-v65-attack,0,no,,
666,paul720810/hermes-attack-v34-dual-post-20260715-063727,1,no,,
667,weizhouliu/jed-attack-v2,0,no,,
668,coolin666/getting-started-notebook,2,no,,
669,coolin666/getting-started-notebook-4c3e91,0,no,,
670,coolin666/getting-started-notebook-2,0,no,,
671,paul720810/hermes-attack-v48-pure-n950-m1p0-20260717-001415,0,no,,
672,paul720810/hermes-attack-v54-n950-framing-20260718-002808,0,no,,
673,paul720810/hermes-attack-v60-pure-n1050-m125-20260719-052338,0,no,,
674,paul720810/hermes-attack-v61-pure-n1050-m115-20260719-052445,0,no,,
675,paul720810/hermes-attack-v62-replicate-20260719-052601,0,no,,
676,paul720810/hermes-attack-v64-n1000-s46-m1-2-20260720-004121,0,no,,
677,paul720810/hermes-attack-v65-n1000-s45-m1-25-20260720-004434,0,no,,
678,paul720810/hermes-attack-v66-n1025-s45-m1-2-20260720-004615,0,no,,
679,paul720810/hermes-attack-v67-n975-s45-m1-2-20260720-004714,0,no,,
680,dakbsabsa/ai-agent-security-multi-step-tool-attacks,9,no,,
681,ojanapalash/notebook6d94950baf,2,no,,
682,paul720810/hermes-attack-v68-tight-20260721-003427,1,no,,
683,prvsiyan/ai-agent-security-defense-in-depth-audit,13,no,,
684,enriro0/replay-throughput-and-guardrail-reachability-jed,1,no,,
685,seb001010/51-silver-working-note-the-gate-reads-payloads,1,no,,
686,coolin666/jed-attack-v12,44,no,,
687,souldrive/drop-them-a-line-quietly-deletes-a-file,3,no,,
688,addonyas/adiya,3,no,,
689,antoniorotundo2/a-throughput-floor-plus-a-genuine-multi-step-searc,12,no,,
690,ashraf1232/isolating-the-taint-boundary-working-note,0,no,,
691,anvithpothula/aisec-jedcdprobe,1,no,,
692,sirikilohit/submission-v170-dual-harmony,0,no,,
693,zashraf1337hs/msta-working-note,0,no,,
694,municef1/105-silver-private-lb-22-155-confused-deputy,4,no,,
695,gerwynng/ai-agent-security-final-leaderboard-shake,2,no,,
696,backtracking/jed-silver-public-v43,0,no,,
697,backtracking/jed-silver-private-hedge-v37,0,no,,
698,backtracking/jed-silver-solution-writeup,0,no,,
699,takamichitoda/the-hedge-that-survived-clean-confused-deputy,0,no,,
700,ahmedmobasher86/working-note-guardrail-predicate-asymmetry,0,no,,
701,merkiraz/jed-v84-deputymax-attack,0,no,,
702,takamichitoda/the-objective-is-raw-per-second,5,no,,
703,kkrasikov/workingnote-66th-place-method-harness,1,no,,
704,abukayyisahbasyid/ai-agent-security-working-note,2,no,,
705,thwaitsusa2/jed-working-note-verifier,1,no,,
