sortRank,ref,totalVotes,code_read,verbatim_score,note
100,malikhammadfarooq/multi-step-tool-attacks-replay-aware-exfil,0,no,,
101,pengwang91/jed-fill-yusuke-m50,2,no,,
102,caoyupeng/real-submission-fork-from-pilkwang-changed,10,no,,
103,evilyevihut/ai-agent-security-fast-safe-560,6,no,,
104,paul720810/hermes-attack-v58-pure-n1000-std-20260719-002444,2,no,,
105,paul720810/hermes-attack-v59-pure-n1100-std-20260719-002609,2,no,,
106,pengwang91/jed-fill-yusuke-m44,2,no,,
107,paul720810/hermes-attack-v70-n900-20260721-101920,4,no,,
108,malikhammadfarooq/per-post-exfil-budget-sized,0,no,,
109,kashyapsinhgohil/multi-step-tool,0,no,,
110,devchandra/ai-agent-security-v66b-yusuke-lb60-bare-m37,5,no,,
111,karnakbaevarthur/multi-endpoint-severity-stacker,118,yes,,V7 vote-baseline code-read
112,verityix/ai-agent-security-attack-algorithm-hitherto,30,no,,
113,berkahkarya/ai-agent-security-v50-probe-verify-attack,3,no,,
114,yaroslavkholmirzayev/ai-agent-security-achieve-and-validate,29,no,,
115,arizalfirdaus123/multi-turn-exfiltration-with-adaptive-burst,62,yes,,V13 vote-baseline code-read
116,evilyevihut/ai-agent-security-fast-safe-520,3,no,,
117,xiaoz259/aas-final-submission-cd,6,no,,
118,paul720810/hermes-attack-v55-n1050-std-20260718-002905,1,no,,
119,geokocha/replay-dense-exfiltration-first-submission,6,no,,
120,junaid512/anatomy-of-an-agentic-jailbreak,1,no,,
121,paul720810/hermes-attack-v52-replicate-20260717-001828,1,no,,
122,rikitomo0526/ai-agent-security-attack-script-exp021,4,no,,
123,paul720810/hermes-attack-v38-pure-n950-20260713-200926,1,no,,
124,paul720810/hermes-attack-v49-pure-n950-m1p05-20260717-001515,1,no,,
125,malikhammadfarooq/jed-x-adaptive-trace-guided-attack-search,0,no,,
126,paul720810/hermes-attack-v50-pure-n950-m1p15-20260717-001610,1,no,,
127,isakatsuyoshi/jed-clean-email-rick-use-allcaps-n2000,2,no,,
128,jek1wantaufik/tool-attack-submission,23,no,,
129,pengwang91/jed-cleanimp445-marker,2,no,,
130,kleniopadilha/winnex-v61-attack,1,no,,
131,paul720810/hermes-attack-v51-pure-n950-m1p2-20260717-001708,1,no,,
132,paul720810/hermes-attack-v39-pure-n1000-tight-20260716-002217,1,no,,
133,pengwang91/jed-cleanimp430-marker,2,no,,
134,paul720810/hermes-attack-v53-n1200-framing-20260718-002659,1,no,,
135,pengwang91/jed-cleanimp420-marker,3,no,,
136,junaid512/agent-security-attack-submission,62,yes,,V14 vote-baseline code-read
137,karnakbaevarthur/dynamic-replay-architecture,35,no,,
138,paul720810/hermes-attack-v72-m112-20260721-151926,2,no,,
139,paul720810/hermes-attack-v57-n950-naked-url-20260718-003257,1,no,,
140,tkhanna96/gemma-k4-gpt-k1-nb,4,no,,
141,imbikramsaha/ai-agent-public-score-34-540,4,no,,
142,yw8837/ai-agent-security-34-255-to-8-145-full-code,0,no,,
143,verise6211/aas-pilk-a3-k2,1,no,,
144,paul720810/hermes-openclaw-attack-e005-20260704-041518,1,no,,
145,pratyaymon/notebook289b303504,1,no,,
146,caoyupeng/ai-agent-security-v2-exfil-mass-shift,72,yes,,V12 vote-baseline code-read
147,paul720810/hermes-openclaw-attack-v20-20260707-041613,1,no,,
148,yaroslavkholmirzayev/ai-agent-security-v8-9-10-11,11,no,,
149,tkhanna96/h006-s1-anchor-len60-n400,4,no,,
150,paul720810/hermes-openclaw-attack-e005-20260628-001654,4,no,,
151,paul720810/hermes-openclaw-attack-e005-20260630-161123,3,no,,
152,devchandra/ai-agent-security-v25-dual-350,0,no,,
153,paul720810/hermes-openclaw-attack-e005-20260627-060617,4,no,,
154,paul720810/hermes-openclaw-attack-e005-20260627-140935,7,no,,
155,paul720810/hermes-openclaw-attack-e005-20260627-101429,1,no,,
156,rageshthangaraj/defensive-red-teaming,3,no,,
157,paul720810/hermes-openclaw-attack-v19-replica-20260707-122726,3,no,,
158,akshitasrivastava1/omega-attack-v5-0-ai-agent-security,3,no,,
159,outliar/agi-deputy-nb1-v11b-gpt2000-gem2000-sub,0,no,,
160,mayuening/notebookde0d25bc7d,4,no,,
161,aleaiest/13th-aisec-cdrole-adaptive,0,no,,
162,paul720810/hermes-openclaw-attack-e005-20260626-161244,8,no,,
163,adonisleu/jed-attack-submission,35,no,,
164,verise6211/aas-pilk-a3-k4,1,no,,
165,kojimar/ai-agent-security-attack-baseline,26,no,,
166,paul720810/hermes-attack-v34-dual-post-20260715-063801,2,no,,
167,mdabdulalhasib/solution-using-very-deep-reaserch,9,no,,
168,kashyapsinhgohil/27-3-eda-agent-security-trajectory-search,6,no,,
169,pilkwang/eda-agent-security-trajectory-search,125,yes,,V6 vote-baseline code-read
170,junaid512/ai-agent-security-dense-exfiltration-calibrate,6,no,,
171,yaroslavkholmirzayev/ai-agent-security-trajectory-search,23,no,,
172,anthonytherrien/agent-security-trajectory,21,no,,
173,qyq1693/ai-agent-security-multiturn-v14,3,no,,
174,arnavkewalram/ais-attack-notebook,18,no,,
175,kokinnwakashuu/ai-agent-security-v035-marker-stack,3,no,,
176,maximbatykovich/ai-agent,11,no,,
177,eugeneyeung/ai-agent-security-private-pp-corp-wide,4,no,,
178,cdeotte/final-cd5,12,no,,
179,kkrasikov/workingnote-66th-place-submission,2,no,,
180,tatuhelander/jed-attack-forge33-email,0,no,,
181,adhirajjagtap/omni-stack-multiplier-v25,18,no,,
182,akshitasrivastava1/omega-attack-v9-0-secret-marker-n250,7,no,,
183,seungjunleeofficial/aas-v14-cd-only-kaggle-submit,1,no,,
184,caoyupeng/ai-agent-security-trajectory-search-plus-2,8,no,,
185,samwiz/aas-v8deputy-gpu,1,no,,
186,hiranorm/publiclb-21-465-privatelb-21-465-aas-email-hedge,0,no,,
187,imbikramsaha/ai-agent-security-baseline-score-21-285,5,no,,
188,ruhul20/red-team-ai-agent-security,5,no,,
189,josephadamski91/conditional-draft-generation-control-v4,2,no,,
190,zhtngr/suffix-allow-guardrail-033-n700,0,no,,
191,anvithpothula/aisec-jedcd6,1,no,,
192,ducnamphan/jed-v6-0-proven-format,1,no,,
193,sebastianmateus/champion-v8-1-cdframe-0811000200,0,no,,
194,ducnamphan/jed-v13-0-fixed-n-250,1,no,,
195,aleixlopez/v49-confused-deputy-hedge,0,no,,
196,wguesdon/ai-agent-security-attack-v19,0,no,,
197,outliar/agi-deputy-nb2-v14-gpt2000-gem2000-sub,0,no,,
198,akshitasrivastava1/omega-attack-v9-1-gemma-phrase-hunt,6,no,,
199,maqsoudtawaliou/aas-attack-deputy-uncond-frac97,0,no,,
200,ducnamphan/jed-v19-0-pure-exfil,2,no,,
201,ducnamphan/jed-v7-0-shell-obfuscation,2,no,,
202,qyq1693/ai-agent-security-marker-v13,2,no,,
203,ducnamphan/jed-attack-v0-60-adaptive,2,no,,
204,ducnamphan/jed-v18-0-cd-exfil,2,no,,
205,ducnamphan/jed-attack-v0-50-fixed,3,no,,
206,funcnano/ai-agent-security-auto-attack,2,no,,
207,ducnamphan/jed-v17-0-precision-uta,1,no,,
208,ducnamphan/jed-attack-v0-70-model-aware,2,no,,
209,tkhanna96/h006-pre-taint-exfil-probe-nb,3,no,,
210,chavarost/jed-attack-v8,3,no,,
211,ducnamphan/jed-attack-v0-55-optimized,2,no,,
212,akshitasrivastava1/omega-attack-v7-multi-hop-exfil-ai-agent-security,1,no,,
213,ducnamphan/jed-v21-0-best-combo,3,no,,
214,nawfeelrahman1124444/multi-step-tool-attacks-16-980,18,no,,
215,adostie3/jed-attack-cd-v1,0,no,,
216,gdataranger/jed-attack-starter-v3-1-2-fixed,53,no,,
217,merkiraz/notebook5ed42e3e8f,0,no,,
218,verise6211/aas-persona-1post,2,no,,
219,emanuellcs/aias-deterministic-bounded-search,6,no,,
220,saharmgh/notebook3,1,no,,
221,pengwang91/jed-fill-k2-exact2,2,no,,
222,devchandra/ai-agent-security-v71-peng-k2-exact2,1,no,,
223,karnakbaevarthur/verify-and-keep-deterministic-red-team-attack,56,no,,
224,yaroslavkholmirzayev/ai-agent-security-first-submission,29,no,,
225,gouthamkonduru/twoforfamily,3,no,,
226,tkhanna96/h026-calibrate-then-generate-nb,6,no,,
227,ducnamphan/jed-v5-5-budget-safe-n-275,2,no,,
228,pengwang91/jed-fill-k3-fasttriple,1,no,,
229,debugendless/jed-attack-mutation-baseline,10,no,,
230,wisdomdogah/jed-attack-submission,4,no,,
231,pengwang91/jed-fill-k2-fastpair,1,no,,
232,verise6211/aas-persona60,2,no,,
233,hasnain201/baseline-solution-4-900,3,no,,
234,tkhanna96/h006-s4-maxn-cd,1,no,,
235,nawfeelrahman1124444/baseline-solution-4-900,61,yes,,V15 vote-baseline code-read
236,tkhanna96/h006-s2-headline-len60-selfcap,1,no,,
237,tkhanna96/h006-s3-pilkwang-replica,1,no,,
238,youssefyacoup/ai-agent,0,no,,
239,tkhanna96/h006-s5-encoding-hedge,1,no,,
240,ferencjuhsz/ghostpost-verify-and-keep-agent-red-team,26,no,,
241,monkeydz/aisec-attack-v2,5,no,,
242,chetansahney/openaisoln1,1,no,,
243,verise6211/aas-persona30,3,no,,
244,mdabdulalhasib/kronos-fixed-without-time-limit,2,no,,
245,mccocoful/local-cpu-submission-for-hengck23,53,no,,
246,paul720810/hermes-openclaw-attack-e005-20260625-060859,2,no,,
247,paul720810/hermes-openclaw-attack-e005-20260704-061228,1,no,,
248,paul720810/hermes-openclaw-attack-v5-4-4-20260616-034038,2,no,,
249,paul720810/hermes-openclaw-attack-e005-20260620-154759,2,no,,
250,paul720810/hermes-openclaw-attack-v6-0-rollback,1,no,,
251,paul720810/hermes-openclaw-attack-v7-5-20260617-051723,2,no,,
252,ducnamphan/jed-v10-0-balanced-best,2,no,,
253,ducnamphan/jed-v11-0-cell-diversity,2,no,,
254,paul720810/hermes-openclaw-attack-e005-20260622-004139,3,no,,
255,paul720810/hermes-openclaw-attack-e005-20260622-014255,2,no,,
256,paul720810/hermes-openclaw-attack-e005-20260622-025415,2,no,,
257,paul720810/hermes-openclaw-attack-e005-20260622-035525,2,no,,
258,nawfeelrahman1124444/getting-started-notebook-0-9,33,no,,
259,anvithpothula/aisec-sevstack,6,no,,
260,ayushkhaire/clean-getting-started-notebook,12,no,,
261,loveautomn/notebookbef7d3ffbd,0,no,,
262,ayushanand01/jed-mab-attack,0,no,,
263,dedquoc/data-clean-exploit,1,no,,
264,vineetvsalimath/ai-agent-secure,0,no,,
265,martynaplomecka/getting-started-notebook,1763,yes,,V1 vote-baseline code-read
266,harmeetkaur24/getting-started-notebook,0,no,,
267,sravanikamjula/ai-agent-security-multi-step-tool-attack-baseline,2,no,,
268,adonisleu/jed-attack-control,3,no,,
269,avikdas567/state-space-search-for-multi-step-agent-attacks,23,no,,
270,irongm/omega-attack-v8-7-multi-phrase-n250,0,no,,
271,ducnamphan/jed-v8-0-max-combo,2,no,,
272,carlysipahutar/jed-attack-multi-step-v1,4,no,,
