ref,title,author,lastRunTime,totalVotes,sortRank
naveenvenubagadi/ai-attack-probe,ai-attack-probe,Naveen Venu Bagadi,2026-08-26T16:26:12.343000,0,50
lucifer19/shadow-cat-firewall,🐈‍⬛⚡ Shadow Cat Firewall,Krizsó Gergely,2026-07-18T07:51:20.777000,74,51
lucifer19/jed-strategy-sentinel,⚡🧿 JED Strategy Sentinel,Krizsó Gergely,2026-07-16T06:29:57.487000,28,52
llccqq624/shadow-cat-firewall,🐈‍⬛⚡ Shadow Cat Firewall,Jiachen Li,2026-07-12T14:15:52.263000,9,53
quan0095/security-eval-edge-fill,Security Eval Edge Fill,Quan Vu,2026-07-13T04:23:24.167000,5,54
boristown/shadow-cat-firewall-darkagi-edited,🐈‍⬛⚡ Shadow Cat Firewall - DarkAGI Edited,暗黑AGI,2026-07-13T00:35:35.423000,9,55
canqiang/aiagsec-submission,AIAgSec Submission,Xander,2026-07-17T12:53:15.090000,82,56
devchandra/ai-agent-security-v83-assia-live-fill-m37,AI Agent Security v83 Assia Live Fill M37,Dr Chandrasen Pandey,2026-07-11T12:42:08.393000,1,57
yusuketogashi/lb60-525-july-safe-edge-prune-tail8-upgrade,LB60.525 July Safe Edge-Prune 🛡️ | Tail8 Upgrade,Yusuke Togashi,2026-07-08T01:01:11.700000,138,58
devchandra/ai-agent-security-v75-yusuke-lb60525-margin32,AI Agent Security v75 Yusuke LB60525 margin32,Dr Chandrasen Pandey,2026-07-10T16:08:45.630000,3,59
caoyupeng/v23-alpha2co-667-break60,V23 Alpha2CO 667 Break60,SpeedSci,2026-06-22T02:49:18.317000,94,60
devchandra/ai-agent-security-v70-yusuke-tail8-margin32,AI Agent Security v70 Yusuke tail8 margin32,Dr Chandrasen Pandey,2026-07-07T03:03:22.513000,1,61
yaroslavkholmirzayev/ai-agent-security-k1-short,AI Agent Security | k1-short,Yaroslav kholmirzayev,2026-06-24T18:58:34.707000,111,62
uctpexx123/aas-kun-lb66015-official-v1,AAS Kun LB66015 Official V1,uctpexx123,2026-07-20T03:17:18.670000,14,63
rumblingb/ai-security-lb60120-yusuke-fork-20260706,AI Security LB60120 Yusuke Fork 20260706,rumbling_b,2026-07-06T17:42:46.173000,7,64
qyq1693/ai-agent-security-dense-v9,ai-agent-security-dense-v9,QYQ1693,2026-07-15T03:00:39.630000,4,65
pilkwang/ai-agent-working-note, AI Agent - 📘 Working Note,Pilkwang Kim,2026-07-05T03:18:45.847000,159,66
kokinnwakashuu/ai-agent-security-working-diary,AI Agent Security - Working Diary,kokinnwakashuu,2026-06-25T09:36:58.600000,77,67
boristown/agi-ai-agent-security,【暗黑AGI】AI Agent Security,暗黑AGI,2026-06-21T08:24:20.167000,129,68
caoyupeng/ai-agent-security-v22-urlcompact-642,AI Agent Security - V22 URLCompact 642,SpeedSci,2026-06-21T07:19:21.427000,48,69
verise6211/aas-pilk-gx2,aas-pilk-gx2,verise6211,2026-07-07T13:37:48.800000,8,70
lucifer19/cognitive-firewall,🧠🛡️ Cognitive Firewall,Krizsó Gergely,2026-07-18T07:16:57.437000,90,71
yaroslavkholmirzayev/replay-dense-boundary-exact-aggressive,Replay Dense Boundary Exact + Aggressive,Yaroslav kholmirzayev,2026-06-22T11:08:20.077000,104,72
verise6211/aas-pilk-gx1,aas-pilk-gx1,verise6211,2026-07-06T15:34:00.500000,4,73
devchandra/ai-agent-security-v65b-yusuke-lb60-margin32,AI Agent Security v65b Yusuke LB60 margin32,Dr Chandrasen Pandey,2026-07-06T01:16:26.667000,6,74
rumblingb/ai-security-shadow-cat-stable-boost-20260708,AI Security Shadow Cat Stable Boost 20260708,rumbling_b,2026-07-08T20:12:26.913000,1,75
imbikramsaha/ai-agent-security-v10-score-56-87,AI Agent Security - v10 | Score-56.87,Bikram Saha,2026-06-20T17:26:49.933000,13,76
pilkwang/ai-agent-replay-dense-exfiltration,AI Agent: Replay-Dense Exfiltration,Pilkwang Kim,2026-06-16T09:52:13.737000,231,77
blacklions/ai-agent-replay-dense-exfiltration,AI Agent: Replay-Dense Exfiltration,陈耀洋,2026-06-18T13:31:38.190000,25,78
berkahkarya/ai-agent-security-attack-v52,ai-agent-security-attack-v52,Berkahkarya Dev,2026-06-21T16:07:23.207000,1,79
berkahkarya/ai-agent-security-attack-v53,ai-agent-security-attack-v53,Berkahkarya Dev,2026-06-21T20:35:13.963000,1,80
akshitasrivastava1/omega-attack-v8-2-static-no-probe,omega attack v8 2 static no probe,Akshita Srivastava,2026-06-21T18:10:58.480000,3,81
pengwang91/jed-fill-a2-mechanical,jed-fill-a2-mechanical,Peng Wang,2026-07-06T02:23:23.947000,3,82
devchandra/ai-agent-security-v64-yusuke-lb60-safe-exact,AI Agent Security v64 Yusuke LB60 safe exact,Dr Chandrasen Pandey,2026-07-06T01:14:53.670000,1,83
sumangnalla/project-agent-security,PROJECT AGENT SECURITY,NALLA SUMANG,2026-07-17T00:22:32.147000,8,84
pengwang91/jed-fill-mech-noval-m35,jed-fill-mech-noval-m35,Peng Wang,2026-07-06T22:37:37.750000,1,85
devchandra/ai-agent-security-v76b-shadowcat-stable-boost,AI Agent Security v76b Shadowcat stable boost,Dr Chandrasen Pandey,2026-07-10T16:19:36.940000,2,86
verise6211/aas-pilk-a3,aas-pilk-a3,verise6211,2026-07-06T00:10:23.923000,1,87
pengwang91/jed-fill-post-terse,jed-fill-post-terse,Peng Wang,2026-07-06T02:23:59.593000,2,88
devchandra/ai-agent-security-v67b-pilkwang-jul5-56-6,AI Agent Security v67b Pilkwang Jul5 56.6,Dr Chandrasen Pandey,2026-07-06T01:18:47.960000,6,89
verise6211/aas-adaptive-e2e,aas-adaptive-e2e,verise6211,2026-07-10T07:09:20.927000,3,90
pengwang91/jed-fill-a2-base,jed-fill-a2-base,Peng Wang,2026-07-06T02:22:48.703000,2,91
caoyupeng/fork-from-ai-agent-security,Fork from AI Agent Security,SpeedSci,2026-06-18T03:43:55.387000,9,92
hongdaekim/deep-battle-atk,deep_battle_atk,Hong Dae Kim,2026-07-09T20:54:25.323000,1,93
devchandra/ai-agent-security-v69b-yusuke-lb60435-tail8,AI Agent Security v69b Yusuke LB60435 tail8,Dr Chandrasen Pandey,2026-07-07T03:00:36.880000,2,94
alt0er/ai-agent-security-fresh,AI Agent Security Fresh,Pratik Acharya,2026-07-17T02:37:51.947000,6,95
