ref,title,author,lastRunTime,totalVotes,sortRank
wguesdon/ai-agent-security-attack-v19,AI Agent Security - Attack v19,Will,2026-08-31T11:40:39.420000,0,196
outliar/agi-deputy-nb2-v14-gpt2000-gem2000-sub,agi-deputy-nb2-v14-gpt2000-gem2000_sub,Mohammad Shadab Alam,2026-08-27T13:27:25.930000,0,197
akshitasrivastava1/omega-attack-v9-1-gemma-phrase-hunt,omega attack v9 1 gemma phrase hunt,Akshita Srivastava,2026-06-26T15:14:46.660000,6,198
maqsoudtawaliou/aas-attack-deputy-uncond-frac97,AAS Attack Deputy Uncond Frac97,Maqsoud Tawaliou,2026-08-16T05:49:53.737000,0,199
ducnamphan/jed-v19-0-pure-exfil,JED v19.0 Pure EXFIL,Duc Nam Phan,2026-07-11T07:34:23.750000,2,200
ducnamphan/jed-v7-0-shell-obfuscation,JED v7.0 Shell Obfuscation,Duc Nam Phan,2026-07-08T01:57:14.070000,2,201
qyq1693/ai-agent-security-marker-v13,ai-agent-security-marker-v13,QYQ1693,2026-07-08T11:16:33.520000,2,202
ducnamphan/jed-attack-v0-60-adaptive,JED Attack v0.60 — Adaptive,Duc Nam Phan,2026-07-05T06:18:25.157000,2,203
ducnamphan/jed-v18-0-cd-exfil,JED v18.0 CD+EXFIL,Duc Nam Phan,2026-07-10T19:03:42.823000,2,204
ducnamphan/jed-attack-v0-50-fixed,JED Attack v0.50 — Fixed,Duc Nam Phan,2026-07-04T19:15:51.240000,3,205
funcnano/ai-agent-security-auto-attack,AI Agent Security Auto Attack,func-nano,2026-06-27T04:40:47.463000,2,206
ducnamphan/jed-v17-0-precision-uta,JED v17.0 Precision UTA,Duc Nam Phan,2026-07-10T19:01:46.297000,1,207
ducnamphan/jed-attack-v0-70-model-aware,JED Attack v0.70 — Model-Aware,Duc Nam Phan,2026-07-05T06:23:24.630000,2,208
tkhanna96/h006-pre-taint-exfil-probe-nb,H006 Pre-Taint EXFIL Probe NB,Tkhanna96,2026-06-13T18:41:51.517000,3,209
chavarost/jed-attack-v8,JED Attack v8,Chavarost Choampangpacharapan,2026-06-15T05:05:56.483000,3,210
ducnamphan/jed-attack-v0-55-optimized,JED Attack v0.55 — Optimized,Duc Nam Phan,2026-07-05T06:13:43.877000,2,211
akshitasrivastava1/omega-attack-v7-multi-hop-exfil-ai-agent-security,omega attack v7 multi-hop exfil ai agent security,Akshita Srivastava,2026-06-20T07:47:27.623000,1,212
ducnamphan/jed-v21-0-best-combo,JED v21.0 Best Combo,Duc Nam Phan,2026-07-11T09:33:12.783000,3,213
nawfeelrahman1124444/multi-step-tool-attacks-16-980,Multi-Step Tool Attacks - 16.980 🏅🔥,(ノ◡ <),2026-06-11T20:13:04.487000,18,214
adostie3/jed-attack-cd-v1,JED Attack CD v1,Adam Dostie,2026-09-01T13:41:14.207000,0,215
gdataranger/jed-attack-starter-v3-1-2-fixed,JED Attack — Starter (v3.1.2 Fixed),Mark Susol,2026-06-26T14:18:35.887000,53,216
merkiraz/notebook5ed42e3e8f,notebook5ed42e3e8f,ömer kiraz,2026-08-29T15:16:15.633000,0,217
verise6211/aas-persona-1post,AAS Persona 1post,verise6211,2026-07-05T19:43:42.617000,2,218
emanuellcs/aias-deterministic-bounded-search,AIAS - Deterministic Bounded Search,Emanuel Lázaro,2026-06-13T11:13:54.807000,6,219
saharmgh/notebook3,notebook3,Sahar Mgh,2026-07-13T15:02:11.393000,1,220
pengwang91/jed-fill-k2-exact2,jed-fill-k2-exact2,Peng Wang,2026-07-06T22:39:46.987000,2,221
devchandra/ai-agent-security-v71-peng-k2-exact2,AI Agent Security v71 Peng K2 exact2,Dr Chandrasen Pandey,2026-07-07T03:01:55.117000,1,222
karnakbaevarthur/verify-and-keep-deterministic-red-team-attack,Verify-and-Keep: Deterministic Red-Team Attack,Karnakbayev Artur,2026-06-12T07:17:05.840000,56,223
yaroslavkholmirzayev/ai-agent-security-first-submission,AI Agent Security - First Submission,Yaroslav kholmirzayev,2026-06-12T18:32:46.337000,29,224
gouthamkonduru/twoforfamily,TwoforFamily,Goutham Konduru,2026-08-27T09:11:08.477000,3,225
tkhanna96/h026-calibrate-then-generate-nb,H026 Calibrate Then Generate NB,Tkhanna96,2026-06-24T19:16:10.727000,6,226
ducnamphan/jed-v5-5-budget-safe-n-275,JED v5.5 — Budget Safe N~275,Duc Nam Phan,2026-07-06T08:09:59.497000,2,227
pengwang91/jed-fill-k3-fasttriple,jed-fill-k3-fasttriple,Peng Wang,2026-07-07T03:25:58.420000,1,228
debugendless/jed-attack-mutation-baseline,🔓 JED Attack: Mutation Baseline,Yamaguchi,2026-06-12T14:55:02.160000,10,229
wisdomdogah/jed-attack-submission,JED Attack Submission,Wisdom Dogah,2026-06-20T07:12:55.837000,4,230
pengwang91/jed-fill-k2-fastpair,jed-fill-k2-fastpair,Peng Wang,2026-07-07T03:25:23.517000,1,231
verise6211/aas-persona60,AAS Persona60,verise6211,2026-07-05T19:43:17.803000,2,232
hasnain201/baseline-solution-4-900,Baseline Solution - 4.900 ,Hasnain khan,2026-06-12T18:06:12.087000,3,233
tkhanna96/h006-s4-maxn-cd,H006 S4 MaxN CD,Tkhanna96,2026-06-20T17:34:39.740000,1,234
nawfeelrahman1124444/baseline-solution-4-900,Baseline Solution - 4.900 🔥🫡,(ノ◡ <),2026-06-11T19:12:50.857000,61,235
tkhanna96/h006-s2-headline-len60-selfcap,H006 S2 Headline Len60 Selfcap,Tkhanna96,2026-06-20T17:34:14.917000,1,236
tkhanna96/h006-s3-pilkwang-replica,H006 S3 Pilkwang Replica,Tkhanna96,2026-06-20T17:34:37.933000,1,237
youssefyacoup/ai-agent,AI AGENT,Youssef Yacoup,2026-08-22T16:36:34.533000,0,238
tkhanna96/h006-s5-encoding-hedge,H006 S5 Encoding Hedge,Tkhanna96,2026-06-20T17:34:41.347000,1,239
ferencjuhsz/ghostpost-verify-and-keep-agent-red-team,GHOSTPOST — verify-and-keep agent red-team,Catcatcher,2026-06-12T12:35:37.317000,26,240
monkeydz/aisec-attack-v2,aisec-attack-v2,Dengzhe Hou,2026-06-16T08:44:53.030000,5,241
chetansahney/openaisoln1,OpenAISoln1,Chetan Sahney,2026-06-13T19:33:57.193000,1,242
verise6211/aas-persona30,AAS Persona30,verise6211,2026-07-05T14:52:54.300000,3,243
mdabdulalhasib/kronos-fixed-without-time-limit,KRONOS |  Fixed without time limit,Md Abdul Al Hasib,2026-06-13T13:45:06.097000,2,244
mccocoful/local-cpu-submission-for-hengck23,local cpu + submission for hengck23,cm391,2026-08-26T11:49:06.403000,53,245
paul720810/hermes-openclaw-attack-e005-20260625-060859,Hermes OpenClaw Attack E005-20260625-060859,Paul720810,2026-06-25T06:11:08.493000,2,246
paul720810/hermes-openclaw-attack-e005-20260704-061228,Hermes OpenClaw Attack E005-20260704-061228,Paul720810,2026-07-04T06:12:32.037000,1,247
paul720810/hermes-openclaw-attack-v5-4-4-20260616-034038,Hermes OpenClaw Attack v5.4.4-20260616-034038,Paul720810,2026-06-16T03:40:41.340000,2,248
paul720810/hermes-openclaw-attack-e005-20260620-154759,Hermes OpenClaw Attack E005-20260620-154759,Paul720810,2026-06-20T15:48:04.387000,2,249
paul720810/hermes-openclaw-attack-v6-0-rollback,Hermes OpenClaw Attack v6.0 Rollback,Paul720810,2026-06-17T04:36:41.307000,1,250
paul720810/hermes-openclaw-attack-v7-5-20260617-051723,Hermes OpenClaw Attack v7.5-20260617-051723,Paul720810,2026-06-17T05:17:26.457000,2,251
ducnamphan/jed-v10-0-balanced-best,JED v10.0 Balanced Best,Duc Nam Phan,2026-07-08T15:43:39.700000,2,252
ducnamphan/jed-v11-0-cell-diversity,JED v11.0 Cell Diversity,Duc Nam Phan,2026-07-08T15:47:22.957000,2,253
paul720810/hermes-openclaw-attack-e005-20260622-004139,Hermes OpenClaw Attack E005-20260622-004139,Paul720810,2026-06-22T00:41:42.943000,3,254
paul720810/hermes-openclaw-attack-e005-20260622-014255,Hermes OpenClaw Attack E005-20260622-014255,Paul720810,2026-06-22T01:42:59.907000,2,255
paul720810/hermes-openclaw-attack-e005-20260622-025415,Hermes OpenClaw Attack E005-20260622-025415,Paul720810,2026-06-22T02:54:19.540000,2,256
paul720810/hermes-openclaw-attack-e005-20260622-035525,Hermes OpenClaw Attack E005-20260622-035525,Paul720810,2026-06-22T03:55:28.923000,2,257
nawfeelrahman1124444/getting-started-notebook-0-9,Getting Started Notebook - 0.9,(ノ◡ <),2026-06-21T16:53:58.270000,33,258
anvithpothula/aisec-sevstack,AISec SevStack,Anvith Pothula,2026-07-20T19:01:01.437000,6,259
ayushkhaire/clean-getting-started-notebook,Clean Getting Started Notebook,Ayush Khaire,2026-06-12T13:38:51.800000,12,260
loveautomn/notebookbef7d3ffbd,notebookbef7d3ffbd,love automn,2026-07-12T09:05:28.570000,0,261
ayushanand01/jed-mab-attack,JED MAB Attack,Ayush Anand,2026-09-01T17:11:43.153000,0,262
dedquoc/data-clean-exploit,Data Clean & Exploit,De DQ,2026-07-05T07:18:40.300000,1,263
vineetvsalimath/ai-agent-secure,Ai-agent secure,Vineet v Salimath,2026-06-18T15:15:54.167000,0,264
martynaplomecka/getting-started-notebook,Getting Started Notebook,MartynaPlomecka,2026-07-13T13:04:02.040000,1763,265
harmeetkaur24/getting-started-notebook,Getting Started Notebook,Harmeet Kaur,2026-07-09T07:56:43.350000,0,266
sravanikamjula/ai-agent-security-multi-step-tool-attack-baseline,AI Agent Security–Multi-Step Tool Attack Baseline,sravani kamjula,2026-07-21T21:24:01.860000,2,267
adonisleu/jed-attack-control,JED Attack Control,ElijahMingLiu,2026-06-29T09:56:12.337000,3,268
avikdas567/state-space-search-for-multi-step-agent-attacks,State-Space Search for Multi-Step Agent Attacks,Avik Das,2026-08-31T03:26:12.320000,23,269
irongm/omega-attack-v8-7-multi-phrase-n250,omega attack v8 7 multi phrase n250,IRON GM,2026-06-25T09:08:50.770000,0,270
ducnamphan/jed-v8-0-max-combo,JED v8.0 Max Combo,Duc Nam Phan,2026-07-08T01:58:36.593000,2,271
carlysipahutar/jed-attack-multi-step-v1,jed-attack-multi-step-v1,carly sipahutar,2026-06-14T18:08:01.843000,4,272
vineetvsalimath/ai-agent-secure-3,=Ai-agent secure 3,Vineet v Salimath,2026-06-20T03:28:26.817000,7,273
paul720810/hermes-openclaw-attack-e005-20260624-020503,Hermes OpenClaw Attack E005-20260624-020503,Paul720810,2026-06-24T02:05:07.470000,1,274
musnet/go-explore-red-team-multi-step-tool-attacks,🥇 Go-Explore Red-Team — Multi-Step Tool Attacks,MohamedMustafa,2026-06-13T04:52:01.927000,5,275
carlysipahutar/jed-attack-v2,jed-attack-v2,carly sipahutar,2026-06-14T18:30:01.183000,4,276
paul720810/hermes-openclaw-attack-e005-20260624-123750,Hermes OpenClaw Attack E005-20260624-123750,Paul720810,2026-06-24T13:16:14.843000,0,277
udaken10/hi-hihi-ho,hi_hihi_ho,really?,2026-06-26T15:13:40.787000,5,278
tkhanna96/h006-v2-geometry-nb,H006-v2 geometry NB,Tkhanna96,2026-06-13T21:01:48.323000,1,279
tkhanna96/h006-v2-scale-2k-nb,H006-v2 SCALE 2k NB,Tkhanna96,2026-06-13T21:19:48.657000,1,280
tkhanna96/h006-v3-optimize-nb,H006-v3 OPTIMIZE NB,Tkhanna96,2026-06-13T21:21:40.997000,1,281
tkhanna96/h006-v2-h007-stack-nb,H006-v2 + H007 STACK NB,Tkhanna96,2026-06-13T21:20:04.130000,1,282
tkhanna96/h006-simple-scale-900-nb,H006 Simple Scale 900 NB,Tkhanna96,2026-06-14T08:37:51.650000,1,283
tkhanna96/h006-4post-400-nb,H006 4post 400 NB,Tkhanna96,2026-06-14T09:33:06.313000,1,284
tkhanna96/h006-2turn-4post-400-nb,H006 2turn 4post 400 NB,Tkhanna96,2026-06-14T11:23:45.277000,1,285
paul720810/hermes-openclaw-attack-v5-5,Hermes OpenClaw Attack v5.5,Paul720810,2026-06-14T16:50:38.977000,2,286
paul720810/hermes-openclaw-attack-v5-4-4-20260615-045937,Hermes OpenClaw Attack v5.4.4-20260615-045937,Paul720810,2026-06-15T04:59:40.123000,2,287
paul720810/hermes-openclaw-attack-v5-4-4-20260615-094527,Hermes OpenClaw Attack v5.4.4-20260615-094527,Paul720810,2026-06-15T09:45:31.247000,2,288
paul720810/hermes-openclaw-attack-v5-4-4-20260615-111041,Hermes OpenClaw Attack v5.4.4-20260615-111041,Paul720810,2026-06-15T11:10:44.370000,2,289
paul720810/hermes-openclaw-attack-v7-0,Hermes OpenClaw Attack v7.0,Paul720810,2026-06-17T13:51:31.037000,3,290
paul720810/hermes-openclaw-attack-v7-5-20260618-012506,Hermes OpenClaw Attack v7.5-20260618-012506,Paul720810,2026-06-18T01:25:11.763000,1,291
paul720810/hermes-openclaw-attack-v7-5-20260618-013134,Hermes OpenClaw Attack v7.5-20260618-013134,Paul720810,2026-06-18T01:31:38.543000,1,292
paul720810/hermes-openclaw-attack-v7-5-20260618-075324,Hermes OpenClaw Attack v7.5-20260618-075324,Paul720810,2026-06-18T07:53:29.560000,0,293
paul720810/hermes-openclaw-attack-v7-5-20260618-132354,Hermes OpenClaw Attack v7.5-20260618-132354,Paul720810,2026-06-18T13:23:58.547000,3,294
paul720810/hermes-openclaw-attack-v8-0,Hermes OpenClaw Attack v8.0,Paul720810,2026-06-18T14:07:13.910000,0,295
berkahkarya/ai-agent-security-attack-v36,ai-agent-security-attack-v36,Berkahkarya Dev,2026-06-20T13:45:58.887000,1,296
paul720810/hermes-openclaw-attack-v7-5-20260619-173824,Hermes OpenClaw Attack v7.5-20260619-173824,Paul720810,2026-06-19T17:38:27.660000,0,297
paul720810/hermes-openclaw-attack-e002-20260619-174939,Hermes OpenClaw Attack E002-20260619-174939,Paul720810,2026-06-19T17:49:43.743000,1,298
paul720810/hermes-openclaw-attack-e003-20260619-175322,Hermes OpenClaw Attack E003-20260619-175322,Paul720810,2026-06-19T17:53:26.620000,0,299
paul720810/hermes-openclaw-attack-e004-20260620-021421,Hermes OpenClaw Attack E004-20260620-021421,Paul720810,2026-06-20T02:14:25.227000,0,300
paul720810/hermes-openclaw-attack-e005-20260620-025043,Hermes OpenClaw Attack E005-20260620-025043,Paul720810,2026-06-20T02:50:46.707000,0,301
max4kr/notebook22b0ab8b82,notebook22b0ab8b82,Максим Кравченко,2026-06-22T09:20:40.730000,0,302
geokocha/eda-agent-security-sdk-deep-dive,EDA Agent Security SDK Deep Dive,Yuanchen Huang,2026-06-21T16:41:10.937000,7,303
sgzk001/ai-agent-security-optimized-attack,ai-agent-security-optimized-attack,SGzK001,2026-06-26T06:02:19.530000,1,304
seyominaoto/jed-attack-multi-strategy,jed attack multi strategy,Seyominaoto,2026-06-23T07:08:28.707000,0,305
paul720810/hermes-openclaw-attack-e005-20260622-121024,Hermes OpenClaw Attack E005-20260622-121024,Paul720810,2026-06-22T12:11:24.337000,1,306
paul720810/hermes-openclaw-attack-e005-20260623-000650,Hermes OpenClaw Attack E005-20260623-000650,Paul720810,2026-06-23T00:06:56.197000,1,307
paul720810/hermes-openclaw-attack-e005-20260623-000740,Hermes OpenClaw Attack E005-20260623-000740,Paul720810,2026-06-23T00:07:44.280000,1,308
paul720810/hermes-openclaw-attack-e005-20260623-020427,Hermes OpenClaw Attack E005-20260623-020427,Paul720810,2026-06-23T02:04:30.940000,1,309
paul720810/hermes-openclaw-attack-e005-20260623-040534,Hermes OpenClaw Attack E005-20260623-040534,Paul720810,2026-06-23T04:05:37.637000,1,310
paul720810/hermes-openclaw-attack-e005-20260624-020556,Hermes OpenClaw Attack E005-20260624-020556,Paul720810,2026-06-24T02:06:00.377000,1,311
alt0er/ai-agent-security-submission,AI Agent Security Submission,Pratik Acharya,2026-06-25T00:26:10.873000,1,312
paul720810/hermes-openclaw-attack-e005-20260630-141208,Hermes OpenClaw Attack E005-20260630-141208,Paul720810,2026-06-30T14:12:12.423000,1,313
farmountain/harness-test-ai-sec-nb-sub01,Harness Test Ai Sec Nb Sub01,Liew Keong Han,2026-07-01T01:35:46.727000,1,314
paul720810/hermes-openclaw-attack-e005-20260702-041330,Hermes OpenClaw Attack E005-20260702-041330,Paul720810,2026-07-02T04:13:35.247000,2,315
verise6211/aas-caoyupeng-repro,AAS Caoyupeng Repro,verise6211,2026-07-04T17:41:30.730000,1,316
verise6211/aas-sentinel,AAS Sentinel,verise6211,2026-07-05T03:17:26.520000,0,317
qyq1693/ai-agent-security-speed-v12,ai-agent-security-speed-v12,QYQ1693,2026-07-07T12:59:20.800000,0,318
erkkj98/notebook1e97ff965b,notebook1e97ff965b,Alexander_Perez,2026-07-15T11:27:18.067000,1,319
paul720810/hermes-attack-v56-n950-ultrashort-20260718-003002,Hermes Attack v56-n950-ultrashort-20260718-003002,Paul720810,2026-07-18T00:30:07.380000,0,320
narajan/best-public-score,Best Public score,Rajan Nagarajan,2026-06-12T16:55:47.027000,5,321
clawdyhuang/ai-agent-security-sov-v9,ai-agent-security-sov-v9,Clawdy Huang (Andy's AI),2026-06-12T07:55:50.257000,3,322
clawdyhuang/ai-agent-security-sov-v10,ai-agent-security-sov-v10,Clawdy Huang (Andy's AI),2026-07-05T14:17:06.067000,0,323
aminmahmoudalifayed/shadow-strike-advanced-multi-step-ai-agent-attack,Shadow Strike: Advanced Multi-Step AI Agent Attack,Dr/ameen Fayed,2026-06-12T20:42:02.143000,5,324
arnavkewalram/ai-agent-security-attack,AI Agent Security Attack,Arnav Kewalram,2026-06-15T16:39:18.173000,3,325
aadias777/ais-attack-notebook,AIS Attack Notebook,Aadi77,2026-06-13T02:00:41.900000,1,326
yujiyyy/jed-benchmark-demystified,JED Benchmark Demystified,yuji y,2026-06-13T02:32:48.663000,2,327
mdabdulalhasib/apex-attack-engine-multi-step,APEX Attack Engine: Multi-Step,Md Abdul Al Hasib,2026-06-13T04:37:22.090000,8,328
rauffauzanrambe/agent-v20-security-for-the-openai,Agent V20 Security for the OpenAI,Ra'uf Fauzan Rambe,2026-06-13T05:30:41.627000,8,329
sohaibdevv/ai-agent-security,AI Agent Security,Sohaib Malik,2026-06-13T06:01:35.907000,8,330
chaitanyajamble/ai-agent-security-multi-step-tool-attack,AI Agent Security-Multi step tool attack,Chaitanya Jamble,2026-06-13T09:33:12.673000,5,331
roy210005/ai-agent-sec-v1,AI agent sec- V1,Sojib Chandra Roy,2026-06-13T07:37:13.510000,2,332
avikdas567/diversity-optimized-multi-step-agent-red-teaming,Diversity Optimized Multi-Step Agent Red Teaming,Avik Das,2026-06-19T03:13:52.060000,20,333
llkh0a/aas-local-validation,AAS | Local validation,Kh0a,2026-08-24T01:51:34.697000,459,334
chaitanyajamble/ai-agent-security-multi-step-tool-attacks,AI Agent Security _ Multi-Step-Tool-Attacks,Chaitanya Jamble,2026-06-14T02:47:54.610000,1,335
quynthnh/sdk-walkthrough-attack-strategy,SDK Walkthrough + Attack Strategy,Quyền Thịnh,2026-06-13T14:50:38.350000,5,336
beicicc/security-eval-public,Security Eval Public,Kun Zhang,2026-06-13T15:08:00.590000,4,337
paul720810/hermes-openclaw-attack-v4,Hermes OpenClaw Attack v4,Paul720810,2026-06-14T01:14:04.030000,3,338
chaitanyajamble/ai-agent-security-multi-step-tool-attacks-3,AI Agent Security - Multi step tool attacks-3,Chaitanya Jamble,2026-06-14T10:42:52.813000,2,339
tuannm3812/ai-agent-security-01-eda,AI Agent Security 01 EDA,tuannm3812,2026-06-14T14:49:43.597000,5,340
tkhanna96/h006-simple-scale-2000-nb,H006 Simple Scale 2000 NB,Tkhanna96,2026-06-14T08:58:17.353000,1,341
tkhanna96/h006-4post-email-stack-nb,H006 4post Email Stack NB,Tkhanna96,2026-06-14T10:15:20.650000,1,342
imbikramsaha/ai-agent-security-explained-eda-starter,AI Agent Security Explained EDA Starter ,Bikram Saha,2026-06-14T13:11:19.297000,9,343
tonylagumen/final-ai-agent-sec-ver19,final_ai_agent_sec_ver19,Tony Lagumen,2026-06-15T13:45:13.517000,1,344
pavloivanin/ai-agent-security-multi-step-attack-engine-eda,AI Agent Security: Multi-Step Attack Engine EDA,Pavlo Ivanin,2026-06-14T14:33:24.743000,2,345
tkhanna96/h006-persona-4post-900-nb,H006 Persona 4post 900 NB,Tkhanna96,2026-06-14T14:48:08.803000,2,346
tkhanna96/h026-adaptive-verify-keep-nb,H026 Adaptive Verify-Keep NB,Tkhanna96,2026-06-14T15:31:08.450000,2,347
nicolepatterson8910/attack-py,attack.py,Nicole Patterson,2026-06-25T18:45:44.070000,0,348
tkhanna96/h026-4post-direct-nb,H026 4post Direct NB,Tkhanna96,2026-06-14T16:27:19.393000,3,349
tkhanna96/h006-simple-scale-600-nb,H006 Simple Scale 600 NB,Tkhanna96,2026-06-24T16:58:51.390000,4,350
shamarjordan/albalgorithim,AlBalgorithim,Shamar Jordan,2026-06-14T20:29:58.613000,3,351
hichambedrani/ai-agent-security-eval-v13,AI Agent Security Eval v13,hicham bedrani,2026-06-14T18:41:15.580000,2,352
hichambedrani/ai-agent-security-v17,AI Agent Security v17,hicham bedrani,2026-06-14T18:56:40.300000,4,353
hichambedrani/ai-agent-security-v18,AI Agent Security v18,hicham bedrani,2026-06-14T18:59:51.660000,3,354
shamarjordan/notebook354da3e7b2,notebook354da3e7b2,Shamar Jordan,2026-06-14T19:21:20.443000,2,355
hichambedrani/ai-agent-security-min-v1,AI Agent Security Min v1,hicham bedrani,2026-06-14T19:19:37.023000,4,356
prtkpiyush/solutions-first-attempt,Solutions_first_attempt,PrtkPiyush,2026-06-14T19:37:04.890000,6,357
tkhanna96/h006-static-400-slot-10-nb,H006 Static 400 Slot 10 NB,Tkhanna96,2026-06-24T19:15:10.450000,2,358
shamarjordan/notebook794e4c7509,notebook794e4c7509,Shamar Jordan,2026-06-14T21:09:49.583000,1,359
tarikumehdi/perfect-1000-score-attack,Perfect 1000 Score Attack,Tariku Mehdi,2026-06-15T17:06:49.943000,2,360
paul720810/hermes-openclaw-attack-v5-4-4-20260615-045242,Hermes OpenClaw Attack v5.4.4-20260615-045242,Paul720810,2026-06-15T04:52:45.823000,2,361
paul720810/hermes-openclaw-attack-v5-4-4-20260615-050418,Hermes OpenClaw Attack v5.4.4-20260615-050418,Paul720810,2026-06-15T05:04:22.227000,2,362
paul720810/hermes-openclaw-attack-v5-4-4-20260615-090607,Hermes OpenClaw Attack v5.4.4-20260615-090607,Paul720810,2026-06-15T09:06:10.667000,2,363
paul720810/hermes-openclaw-attack-v5-4-4-20260615-093314,Hermes OpenClaw Attack v5.4.4-20260615-093314,Paul720810,2026-06-15T09:33:18.240000,2,364
paul720810/hermes-openclaw-attack-v5-4-4-20260615-093845,Hermes OpenClaw Attack v5.4.4-20260615-093845,Paul720810,2026-06-15T09:38:47.793000,2,365
mdabdulalhasib/hmmm-let-s-give-another-solution,Hmmm.... let's give another solution,Md Abdul Al Hasib,2026-06-15T09:44:30.957000,6,366
qinggedada/agent-security-v1,Agent Security V1,qinggedada,2026-06-15T11:52:02.293000,2,367
hasnain201/aas-local-validation,AAS  Local validation,Hasnain khan,2026-06-15T14:01:19.490000,1,368
dhanvinsureshareddy/multiguard-validation-1,Multiguard Validation 1,Dhanvin S,2026-06-16T13:34:38.337000,6,369
tkhanna96/k4-d1r1-routed-v4-nb,K4 D1R1 Routed v4 NB,Tkhanna96,2026-06-15T20:52:18.230000,2,370
tkhanna96/k4-d1r1-routed-v2-nb,K4 D1R1 Routed v2 NB,Tkhanna96,2026-06-15T20:53:09.927000,2,371
tkhanna96/k4-d1r1-routed-nb,K4 D1R1 Routed NB,Tkhanna96,2026-06-15T20:53:15.840000,2,372
tkhanna96/k4-d1r1-routed-v3-nb,K4 D1R1 Routed v3 NB,Tkhanna96,2026-06-15T20:53:19.140000,3,373
tkhanna96/h006-multimsg-200x3-nb,H006 multimsg 200x3 NB,Tkhanna96,2026-06-24T19:15:46.093000,2,374
varunraosfanlkan/extraordinaries-agent-security, extraordinaries-agent-security,Varun Rao,2026-06-16T07:01:08.137000,6,375
chaitanyajamble/ai-agent-security-1,AI Agent Security-1,Chaitanya Jamble,2026-06-16T09:12:25.067000,4,376
monkeydz/aisec-attack-v1,aisec-attack-v1,Dengzhe Hou,2026-06-16T08:38:43.983000,4,377
chaitanyajamble/ai-agent-security-msta-2,AI Agent Security - MSTA/2,Chaitanya Jamble,2026-06-16T10:16:16.483000,3,378
qinggedada/v6-read-multipost-static-attacks,V6 Read-Multipost Static Attacks,qinggedada,2026-06-25T06:19:30.220000,4,379
tkhanna96/k1-short-n1200,k1-short-n1200,Tkhanna96,2026-06-16T16:17:29.247000,1,380
tkhanna96/mixed-k1-k4-n800,mixed-k1-k4-n800,Tkhanna96,2026-06-16T16:33:01.977000,1,381
tkhanna96/two-msg-k1-n900,two-msg-k1-n900,Tkhanna96,2026-06-16T16:33:03.467000,1,382
tkhanna96/k1-short-n1500,k1-short-n1500,Tkhanna96,2026-06-16T16:33:05.583000,1,383
paul720810/hermes-openclaw-attack-v5-4-4-20260616-164412,Hermes OpenClaw Attack v5.4.4-20260616-164412,Paul720810,2026-06-16T16:44:15.913000,1,384
paul720810/hermes-openclaw-attack-v5-4-4-20260616-191008,Hermes OpenClaw Attack v5.4.4-20260616-191008,Paul720810,2026-06-16T19:10:11.047000,1,385
paul720810/hermes-openclaw-attack-v5-4-4-20260616-225601,Hermes OpenClaw Attack v5.4.4-20260616-225601,Paul720810,2026-06-16T22:56:04.277000,1,386
paul720810/hermes-openclaw-attack-v5-4-4-20260617-003205,Hermes OpenClaw Attack v5.4.4-20260617-003205,Paul720810,2026-06-17T00:32:09.357000,1,387
paul720810/hermes-openclaw-attack-v5-4-4-20260617-004304,Hermes OpenClaw Attack v5.4.4-20260617-004304,Paul720810,2026-06-17T00:43:08.373000,1,388
paul720810/hermes-openclaw-attack-v5-4-4-20260617-004904,Hermes OpenClaw Attack v5.4.4-20260617-004904,Paul720810,2026-06-17T00:49:08.163000,1,389
paul720810/hermes-openclaw-attack-v5-4-4-20260617-005744,Hermes OpenClaw Attack v5.4.4-20260617-005744,Paul720810,2026-06-17T00:57:47.007000,1,390
paul720810/hermes-openclaw-attack-v7-4-20260617-013605,Hermes OpenClaw Attack v7.4-20260617-013605,Paul720810,2026-06-17T01:36:08.457000,1,391
paul720810/hermes-openclaw-attack-v7-5-20260617-033553,Hermes OpenClaw Attack v7.5-20260617-033553,Paul720810,2026-06-17T03:35:55.913000,1,392
tanetwonghong/dual-obfuscation,Dual-Obfuscation,Bangsaen AI,2026-06-17T04:43:15.517000,1,393
kuangyicheng/aas-original-attack,aas-original-attack,AbsoluterGeist,2026-06-17T05:32:15.460000,1,394
kuangyicheng/aas-dual-strategy-attack,aas-dual-strategy-attack,AbsoluterGeist,2026-06-17T05:43:52.310000,1,395
nakamurasyuta/jed-scoring-surface-analysis,JED Scoring Surface Analysis,Syuta,2026-06-23T12:37:16.490000,16,396
yashrajkeshari59194/notebook27af2aa2b5,notebook27af2aa2b5,Yash Raj Keshari,2026-06-17T14:12:15.343000,1,397
mdabdulalhasib/nexus-v1-ai-agent-attack,Nexus v1 ai agent attack,Md Abdul Al Hasib,2026-06-18T10:45:16.843000,6,398
felipe1983/aas-replay-dense-exfil-fork,aas replay dense exfil fork,Felipe KNBIS,2026-06-18T13:24:02.377000,3,399
paul720810/hermes-openclaw-attack-v7-5-20260618-133348,Hermes OpenClaw Attack v7.5-20260618-133348,Paul720810,2026-06-18T13:33:53.757000,3,400
etnkaya/nwe-version-attack,nwe_version_attack,ÇETİN KAYA,2026-06-18T15:11:16.460000,0,401
paul720810/hermes-openclaw-attack-v7-5-20260618-142234,Hermes OpenClaw Attack v7.5-20260618-142234,Paul720810,2026-06-18T14:22:37.930000,0,402
